12mer_ProbeName,Nucleotide
probe1404,1
probe1872,2
probe2038,3
probe0574,4
probe1223,5
probe1831,6
probe2019,7
probe2081,8
probe2090,9
probe1104,10
probe1802,11
probe1493,12
probe1414,13
probe0441,14
probe1644,15
probe1958,16
probe1519,17
probe1422,18
probe1874,19
probe2040,20
probe1539,21
probe1916,22
probe1056,23
probe0852,24
probe1732,25
probe1473,26
probe0457,27
probe0700,28
probe0239,29
probe1152,30
probe0882,31
probe0295,32
probe0660,33
probe0752,34
probe0255,35
probe1162,36
probe1816,37
probe0529,38
probe0185,39
probe0056,40
probe1563,41
probe0479,42
probe0710,43
probe1249,44
probe0395,45
probe0688,46
probe0233,47
probe0082,48
probe0612,49
probe0742,50
probe0778,51
probe0784,52
probe0788,53
probe1722,54
probe1469,55
probe1890,56
probe0543,57
probe1666,58
probe0992,59
probe0838,60
probe0808,61
probe0794,62
probe0790,63
probe1724,64
probe1980,65
probe2074,66
probe2089,67
probe1553,68
probe1924,69
probe0549,70
probe1670,71
probe0505,72
probe0173,73
probe0642,74
probe1243,75
probe1363,76
probe0423,77
probe0148,78
probe1136,79
probe0369,80
probe0124,81
probe1130,82
probe0365,83
probe1630,84
probe1445,85
probe1884,86
probe2046,87
probe1094,88
probe1800,89
probe1024,90
probe0848,91
probe1275,92
probe1369,93
probe0427,94
probe0152,95
probe1138,96
probe1810,97
probe1028,98
probe0341,99
probe1180,100
probe0890,101
probe1277,102
probe1371,103
probe1859,104
probe0537,105
probe1662,106
probe1966,107
probe0555,108
probe0193,109
probe1594,110
probe1435,111
probe0447,112
probe0160,113
probe0638,114
probe0748,115
probe1253,116
probe0908,117
probe1283,118
probe1375,119
probe1401,120
probe1869,121
probe2037,122
probe0573,123
probe0195,124
probe0060,125
probe0020,126
probe0600,127
probe0738,128
probe0776,129
probe0265,130
probe0092,131
probe0030,132
probe1112,133
probe1804,134
probe1026,135
probe0339,136
probe0116,137
probe0622,138
probe1237,139
probe0389,140
probe0686,141
probe0231,142
probe0080,143
probe0028,144
probe1110,145
probe1325,146
probe1845,147
probe1038,148
probe1309,149
probe0413,150
probe1636,151
probe0497,152
probe0718,153
probe0770,154
probe0782,155
probe0786,156
probe1720,157
probe1010,158
probe1780,159
probe1018,160
probe0846,161
probe0285,162
probe1610,163
probe1942,164
probe1062,165
probe0856,166
probe0287,167
probe0100,168
probe1575,169
probe1932,170
probe2062,171
probe1541,172
probe1426,173
probe1876,174
probe2042,175
probe2085,176
probe1549,177
probe1428,178
probe0954,179
probe0317,180
probe1616,181
probe1946,182
probe2068,183
probe0584,184
probe1227,185
probe0902,186
probe1754,187
probe1479,188
probe0962,189
probe0832,190
probe0802,191
probe0275,192
probe0656,193
probe1694,194
probe1465,195
probe1888,196
probe2050,197
probe0576,198
probe0197,199
probe1144,200
probe0880,201
probe1744,202
probe1992,203
probe0561,204
probe0724,205
probe0245,206
probe0084,207
probe0614,208
probe0207,209
probe0068,210
probe1565,211
probe1432,212
probe0445,213
probe1646,214
probe0501,215
probe0720,216
probe1704,217
probe0511,218
probe0177,219
probe1590,220
probe0984,221
probe1772,222
probe1016,223
probe1303,224
